  Temperature      Weight        HeatFlow
      °C              %             W/g
     61.74          98.39          9.109
     61.81          98.38          9.105
     61.89          98.38          9.102
     61.97          98.37          9.098
     62.04          98.37          9.095
     62.12          98.36          9.091
     62.19          98.35          9.087
     62.27          98.35          9.084
     62.35          98.34          9.080
     62.42          98.34          9.076
     62.50          98.33          9.073
     62.57          98.33          9.069
     62.65          98.32          9.065
     62.73          98.32          9.061
     62.81          98.31          9.057
     62.89          98.31          9.054
     62.96          98.30          9.050
     63.03          98.30          9.047
     63.11          98.29          9.043
     63.19          98.29          9.039
     63.27          98.28          9.035
     63.34          98.28          9.032
     63.42          98.27          9.028
     63.50          98.27          9.024
     63.58          98.26          9.020
     63.66          98.26          9.017
     63.73          98.25          9.013
     63.81          98.25          9.010
     63.88          98.24          9.006
     63.96          98.23          9.002
     64.04          98.23          8.999
     64.11          98.22          8.995
     64.19          98.22          8.992
     64.27          98.22          8.988
     64.35          98.21          8.984
     64.43          98.21          8.980
     64.50          98.20          8.976
     64.59          98.20          8.972
     64.66          98.19          8.968
     64.74          98.19          8.964
     64.82          98.18          8.960
     64.90          98.17          8.955
     64.97          98.17          8.951
     65.05          98.16          8.947
     65.13          98.16          8.943
     65.21          98.15          8.939
     65.29          98.15          8.935
     65.37          98.14          8.931
     65.45          98.14          8.928
     65.52          98.13          8.924
     65.60          98.13          8.920
     65.68          98.12          8.916
     65.76          98.12          8.912
     65.84          98.11          8.908
     65.92          98.11          8.904
     66.00          98.10          8.900
     66.08          98.10          8.896
     66.16          98.09          8.892
     66.24          98.09          8.888
     66.32          98.08          8.884
     66.39          98.08          8.880
     66.47          98.08          8.876
     66.55          98.07          8.871
     66.63          98.07          8.867
     66.70          98.06          8.863
     66.78          98.06          8.859
     66.87          98.05          8.855
     66.94          98.05          8.851
     67.02          98.04          8.846
     67.10          98.03          8.842
     67.18          98.03          8.838
     67.26          98.02          8.833
     67.34          98.02          8.829
     67.42          98.01          8.825
     67.50          98.01          8.820
     67.58          98.00          8.816
     67.66          98.00          8.812
     67.74          97.99          8.807
     67.82          97.99          8.803
     67.90          97.98          8.799
     67.98          97.98          8.794
     68.06          97.98          8.790
     68.15          97.97          8.786
     68.23          97.97          8.781
     68.31          97.96          8.777
     68.39          97.96          8.773
     68.47          97.95          8.768
     68.54          97.95          8.764
     68.63          97.94          8.759
     68.70          97.94          8.755
     68.78          97.93          8.751
     68.87          97.93          8.746
     68.95          97.92          8.742
     69.03          97.92          8.737
     69.11          97.91          8.732
     69.19          97.91          8.728
     69.27          97.90          8.723
     69.35          97.90          8.719
     69.43          97.89          8.714
     69.52          97.89          8.710
     69.59          97.88          8.705
     69.67          97.88          8.700
     69.75          97.87          8.695
     69.84          97.87          8.691
     69.92          97.86          8.686
     70.00          97.86          8.681
     70.08          97.85          8.676
     70.17          97.84          8.672
     70.25          97.84          8.667
     70.33          97.83          8.662
     70.41          97.83          8.657
     70.50          97.82          8.653
     70.57          97.82          8.648
     70.65          97.82          8.644
     70.74          97.81          8.639
     70.82          97.81          8.634
     70.90          97.80          8.629
     70.98          97.80          8.625
     71.06          97.79          8.620
     71.15          97.79          8.616
     71.23          97.78          8.611
     71.31          97.78          8.606
     71.40          97.77          8.601
     71.48          97.77          8.596
     71.56          97.76          8.592
     71.64          97.76          8.587
     71.72          97.75          8.582
     71.81          97.75          8.577
     71.89          97.74          8.573
     71.97          97.74          8.568
     72.05          97.73          8.563
     72.13          97.73          8.558
     72.21          97.72          8.554
     72.30          97.72          8.549
     72.38          97.71          8.544
     72.46          97.71          8.539
     72.55          97.71          8.534
     72.64          97.70          8.530
     72.72          97.69          8.525
     72.80          97.69          8.520
     72.88          97.69          8.516
     72.96          97.68          8.511
     73.05          97.68          8.506
     73.13          97.67          8.501
     73.22          97.67          8.497
     73.29          97.66          8.492
     73.38          97.66          8.487
     73.46          97.65          8.482
     73.54          97.65          8.477
     73.63          97.64          8.472
     73.71          97.64          8.467
     73.79          97.63          8.462
     73.87          97.63          8.457
     73.95          97.62          8.453
     74.04          97.62          8.448
     74.12          97.61          8.443
     74.20          97.60          8.438
     74.29          97.60          8.434
     74.37          97.59          8.429
     74.45          97.59          8.424
     74.53          97.58          8.419
     74.61          97.58          8.414
     74.70          97.58          8.410
     74.79          97.57          8.405
     74.87          97.57          8.400
     74.95          97.56          8.396
     75.04          97.56          8.391
     75.12          97.56          8.386
     75.21          97.55          8.382
     75.29          97.55          8.377
     75.37          97.54          8.372
     75.46          97.54          8.368
     75.54          97.53          8.363
     75.62          97.53          8.359
     75.70          97.52          8.354
     75.79          97.52          8.349
     75.87          97.51          8.344
     75.95          97.51          8.340
     76.04          97.50          8.335
     76.12          97.49          8.330
     76.20          97.49          8.326
     76.28          97.48          8.321
     76.36          97.48          8.317
     76.45          97.47          8.312
     76.54          97.47          8.308
     76.62          97.46          8.303
     76.71          97.46          8.299
     76.78          97.45          8.294
     76.87          97.45          8.289
     76.95          97.45          8.285
     77.04          97.44          8.280
     77.12          97.44          8.276
     77.20          97.43          8.271
     77.29          97.43          8.267
     77.37          97.42          8.262
     77.45          97.42          8.257
     77.54          97.41          8.253
     77.62          97.41          8.249
     77.71          97.40          8.244
     77.78          97.40          8.239
     77.87          97.40          8.235
     77.95          97.39          8.231
     78.04          97.39          8.226
     78.12          97.38          8.222
     78.20          97.38          8.217
     78.29          97.37          8.213
     78.37          97.36          8.209
     78.46          97.36          8.204
     78.54          97.35          8.200
     78.62          97.35          8.196
     78.70          97.34          8.192
     78.79          97.34          8.187
     78.87          97.33          8.183
     78.96          97.33          8.179
     79.04          97.32          8.175
     79.12          97.32          8.170
     79.20          97.31          8.166
     79.29          97.31          8.162
     79.37          97.31          8.158
     79.45          97.30          8.153
     79.54          97.30          8.149
     79.62          97.30          8.145
     79.70          97.29          8.141
     79.78          97.29          8.137
     79.87          97.28          8.133
     79.95          97.28          8.129
     80.04          97.27          8.125
     80.11          97.27          8.121
     80.20          97.26          8.117
     80.29          97.26          8.112
     80.37          97.26          8.108
     80.45          97.25          8.104
     80.53          97.25          8.100
     80.62          97.24          8.096
     80.70          97.24          8.092
     80.79          97.23          8.088
     80.87          97.23          8.084
     80.95          97.22          8.080
     81.03          97.22          8.076
     81.12          97.21          8.072
     81.21          97.21          8.068
     81.29          97.20          8.065
     81.37          97.20          8.061
     81.45          97.19          8.057
     81.54          97.19          8.053
     81.62          97.18          8.050
     81.70          97.18          8.046
     81.78          97.18          8.042
     81.87          97.17          8.039
     81.95          97.17          8.035
     82.03          97.16          8.031
